,image_path,class_id
0,.\train\00000\01153_00000.png,0
1,.\train\00000\01153_00001.png,0
2,.\train\00000\01153_00002.png,0
3,.\train\00000\01160_00000.png,0
4,.\train\00000\01160_00001.png,0
5,.\train\00000\01160_00002.png,0
6,.\train\00000\01797_00000.png,0
7,.\train\00000\01797_00001.png,0
8,.\train\00000\01797_00002.png,0
9,.\train\00000\01798_00000.png,0
10,.\train\00000\01798_00001.png,0
11,.\train\00000\01798_00002.png,0
12,.\train\00000\01799_00000.png,0
13,.\train\00000\01799_00001.png,0
14,.\train\00000\01799_00002.png,0
15,.\train\00001\00025_00000.png,1
16,.\train\00001\00025_00001.png,1
17,.\train\00001\00025_00002.png,1
18,.\train\00001\00029_00000.png,1
19,.\train\00001\00029_00001.png,1
20,.\train\00001\00029_00002.png,1
21,.\train\00001\00079_00000.png,1
22,.\train\00001\00079_00001.png,1
23,.\train\00001\00079_00002.png,1
24,.\train\00001\00136_00000.png,1
25,.\train\00001\00136_00001.png,1
26,.\train\00001\00136_00002.png,1
27,.\train\00001\00143_00000.png,1
28,.\train\00001\00143_00001.png,1
29,.\train\00001\00143_00002.png,1
30,.\train\00001\00455_00000.png,1
31,.\train\00001\00455_00001.png,1
32,.\train\00001\00455_00002.png,1
33,.\train\00001\00468_00000.png,1
34,.\train\00001\00468_00001.png,1
35,.\train\00001\00468_00002.png,1
36,.\train\00001\00475_00000.png,1
37,.\train\00001\00475_00001.png,1
38,.\train\00001\00475_00002.png,1
39,.\train\00001\00801_00000.png,1
40,.\train\00001\00801_00001.png,1
41,.\train\00001\00801_00002.png,1
42,.\train\00001\00806_00000.png,1
43,.\train\00001\00806_00001.png,1
44,.\train\00001\00806_00002.png,1
45,.\train\00001\00874_00000.png,1
46,.\train\00001\00874_00001.png,1
47,.\train\00001\00874_00002.png,1
48,.\train\00001\00876_00000.png,1
49,.\train\00001\00876_00001.png,1
50,.\train\00001\00876_00002.png,1
51,.\train\00001\00877_00000.png,1
52,.\train\00001\00877_00001.png,1
